시도,시군구,사고건수,사망자수,중상자수,경상자수,부상신고자수
서울,종로구,903,5,237,833,154
서울,중구,955,6,300,814,134
서울,용산구,890,12,246,900,32
서울,성동구,1119,9,322,1071,88
서울,동대문구,1448,10,432,1280,133
서울,성북구,1275,7,323,1195,104
서울,도봉구,741,7,234,652,104
서울,은평구,953,14,275,1007,133
서울,서대문구,928,6,222,810,224
서울,마포구,1272,13,301,1291,162
서울,강서구,1575,17,448,1568,115
서울,구로구,1325,10,353,1357,100
서울,영등포구,2208,7,484,2297,321
서울,동작구,1307,10,304,1313,202
서울,관악구,1444,13,391,1376,52
서울,강남구,3752,17,771,4004,414
서울,강동구,1268,7,377,1124,99
서울,송파구,2595,11,594,2573,342
서울,서초구,2250,9,441,2397,237
서울,양천구,1344,7,323,1386,120
서울,중랑구,1447,4,381,1345,226
서울,노원구,1462,5,372,1488,156
서울,광진구,869,4,230,857,58
서울,강북구,1087,3,226,1124,70
서울,금천구,810,6,210,799,75
부산,중구,284,0,105,237,18
부산,서구,488,4,158,440,72
부산,동구,495,4,195,512,46
부산,영도구,332,4,127,290,24
부산,부산진구,1544,8,538,1495,145
부산,동래구,993,3,279,885,111
부산,남구,762,6,258,702,63
부산,북구,694,11,209,642,71
부산,해운대구,914,9,275,847,109
부산,사하구,969,5,338,872,114
부산,금정구,819,4,257,804,138
부산,강서구,729,10,262,671,45
부산,연제구,744,8,243,642,92
부산,수영구,666,5,204,612,59
부산,사상구,921,11,274,801,151
부산,기장군,559,8,164,684,67
경기,수원시,4480,29,1015,4898,546
경기,성남시,3640,31,1015,3770,419
경기,의정부시,1695,13,418,1812,249
경기,안양시,1337,9,406,1478,74
경기,부천시,3364,23,724,3721,271
경기,안산시,3931,35,949,4487,317
경기,평택시,3190,41,801,3595,423
경기,광명시,964,4,213,927,237
경기,구리시,758,6,187,855,55
경기,양주시,1027,14,267,1161,92
경기,여주시,507,16,183,639,37
경기,화성시,2959,45,714,3358,303
경기,시흥시,2293,26,631,2666,200
경기,파주시,1475,34,420,1429,148
경기,고양시,3586,37,853,3824,435
경기,광주시,1930,27,461,2315,148
경기,연천군,203,5,67,223,26
경기,포천시,829,26,274,997,76
경기,가평군,364,5,111,451,33
경기,양평군,553,9,218,605,97
경기,이천시,1106,25,298,1316,94
경기,용인시,3262,35,793,3653,620
경기,안성시,1075,13,308,1273,198
경기,김포시,1687,29,527,1967,138
경기,동두천시,329,4,97,328,31
경기,과천시,187,6,62,211,17
경기,군포시,709,9,176,718,149
경기,남양주시,2255,32,615,2499,305
경기,오산시,1090,6,253,1116,190
경기,의왕시,414,5,98,446,71
경기,하남시,1192,13,264,1330,194
강원,춘천시,1380,23,327,1608,141
강원,원주시,1830,23,488,2227,73
강원,동해시,296,4,97,320,2
강원,강릉시,848,18,266,945,10
강원,속초시,446,1,193,495,11
강원,태백시,170,1,40,220,10
강원,삼척시,356,5,110,444,4
강원,홍천군,357,10,135,420,18
강원,횡성군,223,7,107,242,26
강원,영월군,154,7,78,79,70
강원,평창군,154,5,72,161,6
강원,정선군,101,3,50,98,8
강원,철원군,150,6,52,148,4
강원,화천군,121,8,53,150,4
강원,양구군,77,2,45,115,5
강원,인제군,82,3,66,53,7
강원,고성군,129,2,44,119,43
강원,양양군,165,5,59,202,9
충북,청주시,4456,61,1428,5291,168
충북,충주시,1099,21,417,1361,52
충북,제천시,801,16,301,927,76
충북,보은군,132,9,69,136,5
충북,옥천군,160,5,76,142,5
충북,영동군,158,10,89,121,7
충북,진천군,481,12,147,620,33
충북,괴산군,193,10,105,226,9
충북,음성군,606,20,241,702,9
충북,단양군,145,5,50,173,10
충북,증평군,167,2,74,157,11
충남,천안시,3086,51,709,3610,276
충남,아산시,1190,19,386,1239,73
충남,보령시,468,12,244,431,7
충남,공주시,514,26,221,540,35
충남,서산시,737,24,384,628,55
충남,금산군,121,7,82,115,1
충남,태안군,299,16,151,351,21
충남,논산시,375,21,225,350,19
충남,부여군,201,6,154,131,0
충남,서천군,289,14,108,301,7
충남,청양군,170,9,95,159,0
충남,홍성군,322,12,149,290,4
충남,예산군,375,13,131,417,7
충남,당진시,751,29,257,895,36
충남,계룡시,54,2,21,65,1
전북,전주시,2082,40,589,2483,44
전북,군산시,1103,25,279,1415,49
전북,정읍시,491,18,219,544,4
전북,남원시,275,18,130,260,0
전북,김제시,368,29,155,426,9
전북,완주군,235,15,94,250,8
전북,진안군,52,8,34,28,2
전북,무주군,94,8,48,94,2
전북,장수군,73,4,53,43,0
전북,임실군,115,7,55,138,1
전북,순창군,109,3,40,90,29
전북,고창군,147,10,72,163,3
전북,부안군,213,8,109,213,5
전북,익산시,1094,27,286,1296,16
전남,목포시,1674,17,286,2512,49
전남,여수시,1635,27,357,2096,58
전남,순천시,1340,27,370,1602,49
전남,나주시,493,17,158,624,27
전남,광양시,663,14,182,814,37
전남,담양군,287,6,89,407,25
전남,곡성군,122,7,49,128,7
전남,구례군,111,8,47,104,8
전남,고흥군,317,17,141,323,20
전남,보성군,220,13,104,252,7
전남,화순군,318,12,98,368,57
전남,장흥군,255,9,71,327,5
전남,강진군,301,5,136,280,40
전남,해남군,281,16,122,286,11
전남,영암군,400,9,123,566,14
전남,무안군,395,15,120,493,4
전남,함평군,185,6,60,211,48
전남,영광군,190,12,78,216,17
전남,장성군,249,6,65,287,34
전남,완도군,170,12,43,193,9
전남,진도군,105,8,47,104,3
전남,신안군,105,10,49,124,4
경북,포항시,2537,27,693,3003,191
경북,경주시,1312,30,543,1252,119
경북,김천시,578,29,217,500,13
경북,안동시,929,22,330,1071,69
경북,구미시,1693,25,553,1657,219
경북,영주시,419,11,183,347,20
경북,영천시,717,21,183,975,31
경북,문경시,344,15,101,394,27
경북,상주시,544,38,255,522,5
경북,군위군,106,5,47,110,0
경북,의성군,233,16,144,192,2
경북,청송군,60,5,36,41,4
경북,영양군,79,2,33,77,4
경북,영덕군,229,9,106,263,27
경북,청도군,175,14,77,180,4
경북,고령군,156,7,82,133,4
경북,성주군,254,9,92,275,5
경북,칠곡군,752,15,234,720,181
경북,예천군,191,13,161,109,5
경북,봉화군,136,9,56,120,20
경북,울진군,127,8,74,93,3
경북,울릉군,13,1,7,11,0
경북,경산시,1089,23,334,1140,44
경남,진주시,656,27,391,450,18
경남,통영시,685,10,231,665,124
경남,김해시,2105,33,987,1905,107
경남,밀양시,496,9,215,482,37
경남,거제시,820,14,347,739,22
경남,의령군,126,5,62,107,6
경남,함안군,294,10,135,265,10
경남,창녕군,331,11,219,260,34
경남,양산시,1240,19,454,1072,173
경남,고성군,257,10,116,240,24
경남,사천시,624,11,276,611,82
경남,남해군,207,6,117,147,43
경남,하동군,116,10,71,74,3
경남,산청군,183,9,115,148,31
경남,함양군,152,7,91,101,39
경남,거창군,253,18,127,184,6
경남,합천군,216,12,139,134,22
경남,창원시(통합),2978,59,1085,2915,149
제주,제주시,2879,44,667,3173,423
제주,서귀포시,1151,24,472,1263,133
대구,중구,709,8,177,671,208
대구,동구,1731,21,422,1948,245
대구,서구,1170,10,294,1216,200
대구,남구,892,7,199,1013,137
대구,북구,2137,17,569,2182,247
대구,수성구,2135,11,518,2382,239
대구,달서구,3221,15,777,3567,370
대구,달성군,945,23,269,1053,71
인천,중구,486,7,159,563,35
인천,동구,153,4,46,149,3
인천,미추홀구,1141,9,273,1150,131
인천,부평구,1412,11,309,1485,109
인천,남동구,1834,19,441,2065,143
인천,서구,1712,16,426,1950,18
인천,연수구,655,8,228,687,17
인천,계양구,894,4,235,964,51
인천,강화군,183,11,92,146,11
인천,옹진군,35,2,11,48,5
광주,동구,540,3,96,640,42
광주,서구,2019,9,283,2784,137
광주,북구,2208,25,401,2985,154
광주,광산구,2088,15,361,2896,187
광주,남구,863,11,149,1131,47
대전,동구,1102,16,286,1309,38
대전,중구,1225,11,303,1420,58
대전,서구,2333,19,554,2765,133
대전,유성구,1803,8,427,2193,102
대전,대덕구,752,12,152,848,48
울산,중구,603,8,201,574,72
울산,남구,1272,11,426,1195,123
울산,동구,554,3,184,523,14
울산,북구,667,14,220,739,80
울산,울주군,738,15,250,693,150
세종,세종시,813,7,313,733,30
