본부,노선,휴게소명,합계,소형,대형
수도권본부,경부선,서울(만남),262,260,2
수도권본부,경부선,죽전(서울),186,119,67
수도권본부,경부선,기흥(부산),418,350,68
수도권본부,경부선,안성(서울),385,270,115
수도권본부,경부선,안성(부산) ,479,432,47
대전충남본부,경부선,입장(서울),309,99,210
대전충남본부,경부선,망향(부산),332,218,114
대전충남본부,경부선,천안(서울),257,220,37
대전충남본부,경부선,천안(부산),176,146,30
대전충남본부,경부선,청주(서울),287,75,212
대전충남본부,경부선,옥산(부산),319,155,164
대전충남본부,경부선,죽암(서울),240,206,34
대전충남본부,경부선,죽암(부산),175,119,56
대전충남본부,경부선,신탄진(서울),293,81,212
대전충남본부,경부선,옥천만남(서울),169,74,95
대전충남본부,경부선,옥천(서울),126,64,62
대전충남본부,경부선,옥천(부산),145,75,70
대전충남본부,경부선,금강(부산),295,250,45
대전충남본부,경부선,황간(서울),104,69,35
대전충남본부,경부선,황간(부산),133,78,55
대구경북본부,경부선,추풍령(서울),168,124,44
대구경북본부,경부선,추풍령(부산),237,138,99
대구경북본부,경부선,김천(서울),163,112,51
대구경북본부,경부선,김천(부산),193,128,65
대구경북본부,경부선,칠곡(서울),257,192,65
대구경북본부,경부선,칠곡(부산),300,147,153
대구경북본부,경부선,경산(서울),215,153,62
대구경북본부,경부선,평사(부산),187,41,146
대구경북본부,경부선,건천(서울),124,96,28
대구경북본부,경부선,건천(부산),146,113,33
부산경남본부,경부선,경주(부산),290,148,142
부산경남본부,경부선,언양(서울),170,130,40
부산경남본부,경부선,통도사(부산),117,94,23
부산경남본부,경부선,양산(서울),207,172,35
수도권본부,서해안선,목감(서울),85,73,12
수도권본부,서해안선,화성(서울),414,353,61
수도권본부,서해안선,화성(목포),623,540,83
수도권본부,서해안선,매송(서울),396,266,130
수도권본부,서해안선,매송(목포),394,247,147
대전충남본부,서해안선,행담도,1729,1629,100
대전충남본부,서해안선,서산(서울),213,155,58
대전충남본부,서해안선,서산(목포),266,205,61
전북본부,서해안선,홍성(서울),214,178,36
전북본부,서해안선,홍성(목포),214,178,36
전북본부,서해안선,대천(서울),234,188,46
전북본부,서해안선,대천(목포),196,164,32
전북본부,서해안선,서천(서울),206,165,41
전북본부,서해안선,서천(목포),147,111,36
전북본부,서해안선,군산(서울),226,120,106
전북본부,서해안선,군산(목포),151,109,42
전북본부,서해안선,고창고인돌(서울),261,187,74
전북본부,서해안선,고창고인돌(목포),294,210,84
광주전남본부,서해안선,함평천지(서울),118,63,55
광주전남본부,서해안선,함평천지(목포),93,53,40
전북본부,호남지선,벌곡(대전),171,150,21
전북본부,호남지선,벌곡(논산),141,84,57
전북본부,호남선,여산(천안),184,174,10
전북본부,호남선,여산(순천),194,134,60
전북본부,호남선,이서(천안),91,64,27
전북본부,호남선,이서(순천),90,61,29
전북본부,호남선,정읍(천안),174,128,46
전북본부,호남선,정읍(순천),126,101,25
광주전남본부,호남선,백양사(천안),70,45,25
광주전남본부,호남선,백양사(순천),70,45,25
광주전남본부,호남선,곡성(천안),118,96,22
광주전남본부,호남선,곡성(순천),54,35,19
광주전남본부,호남선,주암(천안),120,100,20
광주전남본부,호남선,주암(순천),95,69,26
광주전남본부,호남선,순천(순천),42,30,12
수도권본부,중부선,하남(만남),721,697,24
수도권본부,중부선,이천(하남),244,159,85
수도권본부,중부선,이천(통영),128,110,18
수도권본부,중부선,마장,620,585,35
충북본부,중부선,음성(하남),260,128,132
충북본부,중부선,음성(통영),361,161,200
충북본부,중부선,오창(하남),65,40,25
충북본부,중부선,오창(통영),49,30,19
전북본부,대전통영선,인삼랜드(하남),187,143,44
전북본부,대전통영선,인삼랜드(통영),237,196,41
전북본부,대전통영선,덕유산(하남),193,141,52
전북본부,대전통영선,덕유산(통영),206,155,51
부산경남본부,대전통영선,함양(하남),101,79,22
부산경남본부,대전통영선,함양(통영),107,85,22
부산경남본부,대전통영선,산청(하남),139,107,32
부산경남본부,대전통영선,산청(통영),104,63,41
부산경남본부,대전통영선,고성(하남),160,99,61
부산경남본부,대전통영선,고성(통영),187,129,58
부산경남본부,중부내륙선,칠서(양평),108,72,36
부산경남본부,중부내륙선,영산(마산),102,67,35
대구경북본부,중부내륙선,남성주(양평),136,98,38
대구경북본부,중부내륙선,남성주(마산),110,78,32
대구경북본부,중부내륙선,성주(창원),180,115,65
대구경북본부,중부내륙선,성주(양평),180,115,65
충북본부,중부내륙선,선산(양평),274,221,53
충북본부,중부내륙선,선산(마산),297,245,52
충북본부,중부내륙선,문경(양평),177,104,73
충북본부,중부내륙선,문경(마산),146,68,78
충북본부,중부내륙선,괴산(양평),90,76,14
충북본부,중부내륙선,괴산(마산),90,76,14
충북본부,중부내륙선,충주(양평),294,220,74
충북본부,중부내륙선,충주(마산),237,160,77
강원본부,중부내륙선,서여주(양평),70,52,18
강원본부,중부내륙선,서여주(마산),65,52,13
부산경남본부,중부내륙의지선,현풍(대구),96,20,76
부산경남본부,중부내륙의지선,현풍(마산),87,57,30
대구경북본부,중앙선,동명(부산),235,189,46
대구경북본부,중앙선,동명(춘천),194,148,46
대구경북본부,중앙선,군위(부산),227,155,72
대구경북본부,중앙선,군위(춘천),227,155,72
대구경북본부,중앙선,안동(부산),190,119,71
대구경북본부,중앙선,안동(춘천),254,140,114
충북본부,중앙선,단양(부산),112,82,30
충북본부,중앙선,단양(춘천),111,79,32
충북본부,중앙선,치악(부산),156,98,58
충북본부,중앙선,치악(춘천),136,79,57
강원본부,중앙선,원주(부산),173,165,8
강원본부,중앙선,원주(춘천),188,180,8
강원본부,중앙선,홍천강(춘천),142,90,52
강원본부,중앙선,춘천(부산),209,164,45
강원본부,동해선,동해(동해),86,69,17
강원본부,동해선,옥계(속초),230,173,57
강원본부,동해선,구정(동해),230,170,60
강원본부,동해선,구정(속초),226,166,60
광주전남본부,남해선,섬진강(순천),184,149,35
광주전남본부,남해선,섬진강(부산),195,168,27
부산경남본부,남해선,사천(순천),131,103,28
부산경남본부,남해선,사천(부산),134,108,26
부산경남본부,남해선,진주(부산),231,170,61
부산경남본부,남해선,문산(순천),298,260,38
부산경남본부,남해선,함안(순천),263,208,55
부산경남본부,남해선,함안(부산),274,206,68
부산경남본부,남해선,진영(순천),188,146,42
부산경남본부,남해선,진영(부산),233,189,44
광주전남본부,남해선,보성녹차(목포),71,57,14
광주전남본부,남해선,보성녹차(광양),85,64,21
부산경남본부,남해제2지선,장유(부산),107,64,43
부산경남본부,부산외곽선,김해(통합),337,291,46
대구경북본부,광주대구선,논공(대구),156,135,21
대구경북본부,광주대구선,논공(광주),125,90,35
대구경북본부,광주대구선,거창(대구),86,70,16
대구경북본부,광주대구선,거창(광주),110,92,18
광주전남본부,광주대구선,지리산(대구),104,73,31
광주전남본부,광주대구선,지리산(광주),141,95,46
광주전남본부,광주대구선,강천산(대구),56,40,16
광주전남본부,광주대구선,강천산(광주),63,40,23
강원본부,영동선,용인(인천),163,136,27
강원본부,영동선,용인(강릉),286,255,31
강원본부,영동선,덕평(인천),670,587,83
강원본부,영동선,여주(인천),247,235,12
강원본부,영동선,여주(강릉),252,183,69
강원본부,영동선,문막(인천),164,130,34
강원본부,영동선,문막(강릉),182,156,26
강원본부,영동선,횡성(인천),151,124,27
강원본부,영동선,횡성(강릉),235,213,22
강원본부,영동선,평창(인천),98,83,15
강원본부,영동선,평창(강릉),98,83,15
강원본부,영동선,강릉(인천),279,233,46
강원본부,영동선,강릉(강릉),252,205,47
대구경북본부,대구포항선,와촌(포항),163,103,60
대구경북본부,대구포항선,청통(대구),150,107,43
대구경북본부,대구포항선,영천(포항),270,175,95
대구경북본부,대구포항선,영천(대구),304,206,98
전북본부,익산장수선,진안(익산),118,94,24
전북본부,익산장수선,진안(장수),138,108,30
광주전남본부,무안광주선,함평나비(무안),105,70,35
광주전남본부,무안광주선,함평나비(광주),105,70,35
대전충남본부,당진영덕선,공주(대전),188,143,45
대전충남본부,당진영덕선,공주(당진),178,134,44
대전충남본부,당진영덕선,예산(대전),119,97,22
대전충남본부,당진영덕선,예산(당진),150,99,51
충북본부,당진영덕선,속리산(청원),150,125,25
충북본부,당진영덕선,화서(상주),150,125,25
대구경북본부,당진영덕선,의성(상주),47,35,12
대구경북본부,당진영덕선,의성(영덕),47,35,12
대구경북본부,당진영덕선,청송(상주),51,40,11
대구경북본부,당진영덕선,청송(영덕),51,40,11
대전충남본부,서천공주선,부여백제(공주),95,65,30
대전충남본부,서천공주선,부여백제(서천),99,69,30
수도권본부,서울외곽선,의왕(청계),46,46,0
수도권본부,서울외곽선,서하남(판교),75,70,5
수도권본부,서울외곽선,성남,30,30,0
수도권본부,서울외곽선,구리남양주,45,45,0
수도권본부,서울외곽선,시흥(통합),560,541,19
수도권본부,서울외곽선,구리(일산),144,123,21
충북본부,평택제천선,안성맞춤(평택),141,108,33
충북본부,평택제천선,안성맞춤(제천),148,115,33
충북본부,평택제천선,금왕(평택),170,110,60
충북본부,평택제천선,금왕(제천),170,110,60
충북본부,평택제천선,천등산(평택),69,53,16
충북본부,평택제천선,천등산(제천),69,53,16
광주전남본부,순천완주선,오수(전주),156,116,40
광주전남본부,순천완주선,오수(순천),156,122,34
광주전남본부,순천완주선,황전(전주),99,75,24
광주전남본부,순천완주선,황전(순천),98,78,20
부산경남본부,울산포항선,외동(울산),72,51,21
부산경남본부,울산포항선,외동(포항),72,51,21
강원본부,서울양양선,내린천(통합),330,262,68
강원본부,서울양양선,홍천(서울),188,142,46
강원본부,서울양양선,홍천(양양),160,129,31
